validTimeUtc,dayOfWeek,dayOrNight,expirationTimeUtc,iconCode,iconCodeExtend,precipChance,precipType,pressureMeanSeaLevel,qpf,qpfSnow,relativeHumidity,temperature,temperatureDewPoint,temperatureFeelsLike,temperatureHeatIndex,temperatureWindChill,uvDescription,uvIndex,validTimeLocal,cloudCover,visibility,windDirection,windDirectionCardinal,windGust,windSpeed,wxPhraseLong,wxPhraseShort,wxSeverity
Monday May 15 2023 at 2:00:00 PM,Monday,D,1683305963,30,3000,11,rain,29.97,0,0,53,72,54,72,72,72,Very High,8,2023-05-15T14:00:00-0400,35,10,267,W,,10,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 3:00:00 PM,Monday,D,1683305963,30,3000,11,rain,29.96,0,0,52,73,54,73,73,73,High,6,2023-05-15T15:00:00-0400,35,10,253,WSW,,10,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 4:00:00 PM,Monday,D,1683305963,30,3000,10,rain,29.96,0,0,51,73,54,73,73,73,Moderate,4,2023-05-15T16:00:00-0400,35,10,249,WSW,,10,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 5:00:00 PM,Monday,D,1683305963,30,3000,11,rain,29.96,0,0,51,73,54,73,73,73,Low,2,2023-05-15T17:00:00-0400,35,10,247,WSW,,10,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 6:00:00 PM,Monday,D,1683305963,30,3000,12,rain,29.96,0,0,54,72,55,72,72,72,Low,1,2023-05-15T18:00:00-0400,35,10,237,WSW,,9,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 7:00:00 PM,Monday,D,1683305963,30,3000,13,rain,29.96,0,0,57,71,55,71,71,71,Low,0,2023-05-15T19:00:00-0400,35,10,235,SW,,8,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 8:00:00 PM,Monday,D,1683305963,30,3000,9,rain,29.96,0,0,63,68,55,68,68,68,Low,0,2023-05-15T20:00:00-0400,35,10,232,SW,,7,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 9:00:00 PM,Monday,N,1683305963,29,2900,10,rain,29.96,0,0,65,67,55,67,67,67,Low,0,2023-05-15T21:00:00-0400,34,10,225,SW,,6,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 10:00:00 PM,Monday,N,1683305963,29,2900,11,rain,29.97,0,0,69,65,55,65,65,65,Low,0,2023-05-15T22:00:00-0400,34,10,229,SW,,7,Partly Cloudy,P Cloudy,1
Monday May 15 2023 at 11:00:00 PM,Monday,N,1683305963,29,2900,11,rain,29.98,0,0,75,62,54,62,62,62,Low,0,2023-05-15T23:00:00-0400,33,10,265,W,,7,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 12:00:00 AM,Tuesday,N,1683305963,29,2900,12,rain,29.98,0,0,77,61,54,61,61,61,Low,0,2023-05-16T00:00:00-0400,33,10,276,W,,6,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 1:00:00 AM,Tuesday,N,1683305963,29,2900,13,rain,29.99,0,0,79,60,53,60,60,60,Low,0,2023-05-16T01:00:00-0400,33,10,290,WNW,,6,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 2:00:00 AM,Tuesday,N,1683305963,29,2900,13,rain,29.99,0,0,80,59,53,59,59,59,Low,0,2023-05-16T02:00:00-0400,33,10,296,WNW,,5,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 3:00:00 AM,Tuesday,N,1683305963,29,2900,14,rain,30,0,0,81,58,52,58,58,58,Low,0,2023-05-16T03:00:00-0400,33,10,282,WNW,,5,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 4:00:00 AM,Tuesday,N,1683305963,29,2900,14,rain,30,0,0,82,58,53,58,58,58,Low,0,2023-05-16T04:00:00-0400,33,10,279,W,,5,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 5:00:00 AM,Tuesday,N,1683305963,29,2900,14,rain,30,0,0,81,58,52,57,58,57,Low,0,2023-05-16T05:00:00-0400,32,10,283,WNW,,6,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 6:00:00 AM,Tuesday,D,1683305963,30,3000,14,rain,30.01,0,0,81,58,52,57,58,57,Low,0,2023-05-16T06:00:00-0400,32,10,284,WNW,,6,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 7:00:00 AM,Tuesday,D,1683305963,30,3000,14,rain,30.01,0,0,79,59,53,59,59,59,Low,0,2023-05-16T07:00:00-0400,32,10,277,W,,6,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 8:00:00 AM,Tuesday,D,1683305963,30,3000,20,rain,30.01,0,0,76,61,53,61,61,61,Low,1,2023-05-16T08:00:00-0400,32,10,281,W,,7,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 9:00:00 AM,Tuesday,D,1683305963,30,3000,18,rain,30,0,0,71,64,54,64,64,64,Low,2,2023-05-16T09:00:00-0400,33,10,265,W,,8,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 10:00:00 AM,Tuesday,D,1683305963,30,3000,14,rain,29.99,0,0,65,66,54,66,66,66,Moderate,4,2023-05-16T10:00:00-0400,34,10,257,WSW,,8,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 11:00:00 AM,Tuesday,D,1683305963,30,3000,11,rain,29.98,0,0,60,69,54,69,69,69,High,6,2023-05-16T11:00:00-0400,35,10,247,WSW,,9,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 12:00:00 PM,Tuesday,D,1683305963,30,3000,10,rain,29.97,0,0,56,71,55,71,71,71,Very High,8,2023-05-16T12:00:00-0400,36,10,239,WSW,,9,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 1:00:00 PM,Tuesday,D,1683305963,30,3000,10,rain,29.95,0,0,54,72,54,72,72,72,Very High,8,2023-05-16T13:00:00-0400,36,10,232,SW,,9,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 2:00:00 PM,Tuesday,D,1683305963,30,3000,19,rain,29.94,0,0,50,74,54,74,74,74,Very High,8,2023-05-16T14:00:00-0400,36,10,228,SW,,10,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 3:00:00 PM,Tuesday,D,1683305963,30,3000,20,rain,29.93,0,0,50,74,54,74,74,74,High,6,2023-05-16T15:00:00-0400,36,10,222,SW,,10,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 4:00:00 PM,Tuesday,D,1683305963,30,3000,20,rain,29.92,0,0,49,75,55,75,75,75,Moderate,4,2023-05-16T16:00:00-0400,36,10,219,SW,17,10,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 5:00:00 PM,Tuesday,D,1683305963,30,3000,20,rain,29.9,0,0,51,74,55,74,74,74,Low,2,2023-05-16T17:00:00-0400,37,10,222,SW,18,10,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 6:00:00 PM,Tuesday,D,1683305963,30,3000,21,rain,29.9,0,0,54,73,55,73,73,73,Low,1,2023-05-16T18:00:00-0400,40,10,211,SSW,18,10,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 7:00:00 PM,Tuesday,D,1683305963,30,3000,22,rain,29.89,0,0,58,71,56,71,71,71,Low,0,2023-05-16T19:00:00-0400,44,10,206,SSW,,8,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 8:00:00 PM,Tuesday,D,1683305963,30,3000,9,rain,29.89,0,0,63,69,56,69,69,69,Low,0,2023-05-16T20:00:00-0400,47,10,202,SSW,,7,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 9:00:00 PM,Tuesday,N,1683305963,29,2900,9,rain,29.89,0,0,67,67,56,67,67,67,Low,0,2023-05-16T21:00:00-0400,51,10,195,SSW,,7,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 10:00:00 PM,Tuesday,N,1683305963,29,2900,10,rain,29.9,0,0,71,65,55,65,65,65,Low,0,2023-05-16T22:00:00-0400,55,10,205,SSW,,7,Partly Cloudy,P Cloudy,1
Tuesday May 16 2023 at 11:00:00 PM,Tuesday,N,1683305963,29,2900,16,rain,29.9,0,0,72,65,55,65,65,65,Low,0,2023-05-16T23:00:00-0400,58,10,238,WSW,,7,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 12:00:00 AM,Wednesday,N,1683305963,29,2900,17,rain,29.91,0,0,75,64,55,64,64,64,Low,0,2023-05-17T00:00:00-0400,58,10,254,WSW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 1:00:00 AM,Wednesday,N,1683305963,29,2900,19,rain,29.93,0,0,76,63,55,62,63,62,Low,0,2023-05-17T01:00:00-0400,53,10,288,WNW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 2:00:00 AM,Wednesday,N,1683305963,29,2900,4,rain,29.94,0,0,81,60,55,60,60,60,Low,0,2023-05-17T02:00:00-0400,51,10,301,WNW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 3:00:00 AM,Wednesday,N,1683305963,29,2900,4,rain,29.95,0,0,80,59,53,59,59,59,Low,0,2023-05-17T03:00:00-0400,53,10,299,WNW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 4:00:00 AM,Wednesday,N,1683305963,29,2900,4,rain,29.96,0,0,78,59,53,59,59,59,Low,0,2023-05-17T04:00:00-0400,57,10,310,NW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 5:00:00 AM,Wednesday,N,1683305963,29,2900,3,rain,29.97,0,0,79,58,52,58,58,58,Low,0,2023-05-17T05:00:00-0400,59,10,302,WNW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 6:00:00 AM,Wednesday,D,1683305963,30,3000,3,rain,29.98,0,0,79,58,52,58,58,58,Low,0,2023-05-17T06:00:00-0400,58,10,315,NW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 7:00:00 AM,Wednesday,D,1683305963,30,3000,3,rain,29.99,0,0,76,59,52,59,59,59,Low,0,2023-05-17T07:00:00-0400,56,10,315,NW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 8:00:00 AM,Wednesday,D,1683305963,30,3000,14,rain,30,0,0,73,62,53,61,62,61,Low,1,2023-05-17T08:00:00-0400,55,10,315,NW,,7,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 9:00:00 AM,Wednesday,D,1683305963,30,3000,17,rain,30,0,0,66,65,53,65,65,65,Low,2,2023-05-17T09:00:00-0400,56,10,299,WNW,,7,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 10:00:00 AM,Wednesday,D,1683305963,30,3000,15,rain,30,0,0,59,68,53,68,68,68,Moderate,4,2023-05-17T10:00:00-0400,58,10,287,WNW,,8,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 11:00:00 AM,Wednesday,D,1683305963,30,3000,13,rain,29.99,0,0,55,70,53,70,70,70,High,6,2023-05-17T11:00:00-0400,58,10,270,W,,8,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 12:00:00 PM,Wednesday,D,1683305963,30,3000,13,rain,29.98,0,0,51,72,53,72,72,72,High,7,2023-05-17T12:00:00-0400,58,10,256,WSW,,8,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 1:00:00 PM,Wednesday,D,1683305963,30,3000,14,rain,29.98,0,0,49,73,53,73,73,73,Very High,8,2023-05-17T13:00:00-0400,57,10,242,WSW,,8,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 2:00:00 PM,Wednesday,D,1683305963,30,3000,18,rain,29.97,0,0,48,74,53,74,74,74,High,7,2023-05-17T14:00:00-0400,57,10,239,WSW,,9,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 3:00:00 PM,Wednesday,D,1683305963,30,3000,19,rain,29.96,0,0,46,75,53,75,75,75,High,6,2023-05-17T15:00:00-0400,57,10,229,SW,,9,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 4:00:00 PM,Wednesday,D,1683305963,30,3000,20,rain,29.96,0,0,46,75,53,75,75,75,Moderate,4,2023-05-17T16:00:00-0400,58,10,221,SW,,9,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 5:00:00 PM,Wednesday,D,1683305963,30,3000,21,rain,29.96,0,0,48,74,53,74,74,74,Low,2,2023-05-17T17:00:00-0400,58,10,225,SW,,9,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 6:00:00 PM,Wednesday,D,1683305963,30,3000,22,rain,29.95,0,0,50,73,53,73,73,73,Low,1,2023-05-17T18:00:00-0400,58,10,213,SSW,,9,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 7:00:00 PM,Wednesday,D,1683305963,30,3000,23,rain,29.95,0,0,53,71,53,71,71,71,Low,0,2023-05-17T19:00:00-0400,58,10,212,SSW,,7,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 8:00:00 PM,Wednesday,D,1683305963,30,3000,19,rain,29.95,0,0,57,69,53,69,69,69,Low,0,2023-05-17T20:00:00-0400,58,10,200,SSW,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 9:00:00 PM,Wednesday,N,1683305963,29,2900,19,rain,29.96,0,0,62,67,53,67,67,67,Low,0,2023-05-17T21:00:00-0400,58,10,190,S,,6,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 10:00:00 PM,Wednesday,N,1683305963,29,2900,20,rain,29.96,0,0,67,65,54,65,65,65,Low,0,2023-05-17T22:00:00-0400,59,10,204,SSW,,7,Partly Cloudy,P Cloudy,1
Wednesday May 17 2023 at 11:00:00 PM,Wednesday,N,1683305963,11,1100,38,rain,29.97,0.01,0,70,63,53,63,63,63,Low,0,2023-05-17T23:00:00-0400,59,9,251,WSW,,7,Showers,Showers,1
Thursday May 18 2023 at 12:00:00 AM,Thursday,N,1683305963,11,1100,38,rain,29.98,0.01,0,74,62,54,62,62,62,Low,0,2023-05-18T00:00:00-0400,60,9,261,W,,6,Showers,Showers,1
Thursday May 18 2023 at 1:00:00 AM,Thursday,N,1683305963,11,4600,32,rain,29.98,0.01,0,78,61,54,61,61,61,Low,0,2023-05-18T01:00:00-0400,60,10,281,W,,5,Few Showers,Few Showers,1
Thursday May 18 2023 at 2:00:00 AM,Thursday,N,1683305963,11,1100,36,rain,29.98,0.01,0,81,60,54,60,60,60,Low,0,2023-05-18T02:00:00-0400,60,9,304,WNW,,5,Showers,Showers,1
Thursday May 18 2023 at 3:00:00 AM,Thursday,N,1683305963,11,1100,37,rain,29.98,0.01,0,82,59,53,58,59,58,Low,0,2023-05-18T03:00:00-0400,60,8,270,W,,5,Showers,Showers,1
Thursday May 18 2023 at 4:00:00 AM,Thursday,N,1683305963,11,1100,38,rain,29.99,0.01,0,84,59,54,58,59,58,Low,0,2023-05-18T04:00:00-0400,60,8,358,N,,5,Showers,Showers,1
Thursday May 18 2023 at 5:00:00 AM,Thursday,N,1683305963,11,1100,40,rain,29.99,0.02,0,83,59,54,58,59,58,Low,0,2023-05-18T05:00:00-0400,60,8,314,NW,,6,Showers,Showers,1
Thursday May 18 2023 at 6:00:00 AM,Thursday,D,1683305963,11,1100,39,rain,30,0.02,0,82,59,53,58,59,58,Low,0,2023-05-18T06:00:00-0400,60,8,341,NNW,,6,Showers,Showers,1
Thursday May 18 2023 at 7:00:00 AM,Thursday,D,1683305963,11,1100,39,rain,30.01,0.02,0,84,59,54,58,59,58,Low,0,2023-05-18T07:00:00-0400,59,8,333,NNW,,6,Showers,Showers,1
Thursday May 18 2023 at 8:00:00 AM,Thursday,D,1683305963,11,4600,32,rain,30.01,0,0,78,61,54,60,61,60,Low,1,2023-05-18T08:00:00-0400,59,8,323,NW,,6,Few Showers,Few Showers,1
Thursday May 18 2023 at 9:00:00 AM,Thursday,D,1683305963,28,2800,24,rain,30.01,0,0,68,65,54,65,65,65,Low,2,2023-05-18T09:00:00-0400,60,9,297,WNW,,7,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 10:00:00 AM,Thursday,D,1683305963,28,2800,24,rain,30.01,0,0,62,67,54,67,67,67,Moderate,4,2023-05-18T10:00:00-0400,60,10,281,W,,8,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 11:00:00 AM,Thursday,D,1683305963,28,2800,10,rain,30,0,0,57,69,54,69,69,69,High,6,2023-05-18T11:00:00-0400,60,10,239,WSW,,8,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 12:00:00 PM,Thursday,D,1683305963,28,2800,8,rain,29.99,0,0,55,71,54,71,71,71,High,7,2023-05-18T12:00:00-0400,61,10,225,SW,,8,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 1:00:00 PM,Thursday,D,1683305963,28,2800,8,rain,29.98,0,0,51,73,54,73,73,73,Very High,8,2023-05-18T13:00:00-0400,61,10,222,SW,,8,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 2:00:00 PM,Thursday,D,1683305963,28,2800,16,rain,29.97,0,0,50,74,54,74,74,74,High,7,2023-05-18T14:00:00-0400,62,10,219,SW,,8,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 3:00:00 PM,Thursday,D,1683305963,28,2800,17,rain,29.96,0,0,48,75,54,75,75,75,High,6,2023-05-18T15:00:00-0400,61,10,213,SSW,,9,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 4:00:00 PM,Thursday,D,1683305963,28,2800,18,rain,29.96,0,0,48,75,54,75,75,75,Moderate,4,2023-05-18T16:00:00-0400,61,10,210,SSW,,9,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 5:00:00 PM,Thursday,D,1683305963,28,2800,20,rain,29.95,0,0,49,74,54,74,74,74,Low,2,2023-05-18T17:00:00-0400,60,10,218,SW,,9,Mostly Cloudy,M Cloudy,1
Thursday May 18 2023 at 6:00:00 PM,Thursday,D,1683305963,30,3000,22,rain,29.95,0,0,52,73,54,73,73,73,Low,1,2023-05-18T18:00:00-0400,57,10,210,SSW,,9,Partly Cloudy,P Cloudy,1
Thursday May 18 2023 at 7:00:00 PM,Thursday,D,1683305963,30,3000,24,rain,29.95,0,0,56,71,55,71,71,71,Low,0,2023-05-18T19:00:00-0400,52,10,207,SSW,,8,Partly Cloudy,P Cloudy,1
Thursday May 18 2023 at 8:00:00 PM,Thursday,D,1683305963,30,3000,23,rain,29.96,0,0,61,69,55,69,69,69,Low,0,2023-05-18T20:00:00-0400,47,10,194,SSW,,7,Partly Cloudy,P Cloudy,1
Thursday May 18 2023 at 9:00:00 PM,Thursday,N,1683305963,29,2900,23,rain,29.96,0,0,64,67,55,67,67,67,Low,0,2023-05-18T21:00:00-0400,42,10,173,S,,7,Partly Cloudy,P Cloudy,1
Thursday May 18 2023 at 10:00:00 PM,Thursday,N,1683305963,29,2900,23,rain,29.96,0,0,67,66,55,66,66,66,Low,0,2023-05-18T22:00:00-0400,37,10,187,S,,7,Partly Cloudy,P Cloudy,1
Thursday May 18 2023 at 11:00:00 PM,Thursday,N,1683305963,29,2900,24,rain,29.97,0,0,73,63,54,63,63,63,Low,0,2023-05-18T23:00:00-0400,34,10,239,WSW,,7,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 12:00:00 AM,Friday,N,1683305963,29,2900,24,rain,29.97,0,0,74,63,55,63,63,63,Low,0,2023-05-19T00:00:00-0400,35,10,256,WSW,,7,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 1:00:00 AM,Friday,N,1683305963,29,2900,24,rain,29.98,0,0,79,61,54,61,61,61,Low,0,2023-05-19T01:00:00-0400,35,10,291,WNW,,6,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 2:00:00 AM,Friday,N,1683305963,29,2900,18,rain,29.98,0,0,78,61,54,61,61,61,Low,0,2023-05-19T02:00:00-0400,36,10,304,WNW,,5,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 3:00:00 AM,Friday,N,1683305963,29,2900,13,rain,29.98,0,0,80,60,54,59,60,59,Low,0,2023-05-19T03:00:00-0400,36,10,315,NW,,6,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 4:00:00 AM,Friday,N,1683305963,29,2900,13,rain,29.99,0,0,84,59,54,58,59,58,Low,0,2023-05-19T04:00:00-0400,36,10,18,NNE,,5,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 5:00:00 AM,Friday,N,1683305963,29,2900,13,rain,30,0,0,83,59,53,58,59,58,Low,0,2023-05-19T05:00:00-0400,37,10,338,NNW,,6,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 6:00:00 AM,Friday,D,1683305963,30,3000,11,rain,30,0,0,79,60,53,59,60,59,Low,0,2023-05-19T06:00:00-0400,37,10,349,NNW,,6,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 7:00:00 AM,Friday,D,1683305963,30,3000,10,rain,30.01,0,0,81,60,54,59,60,59,Low,0,2023-05-19T07:00:00-0400,38,10,333,NNW,,6,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 8:00:00 AM,Friday,D,1683305963,30,3000,13,rain,30.02,0,0,73,63,54,63,63,63,Low,1,2023-05-19T08:00:00-0400,38,10,326,NW,,7,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 9:00:00 AM,Friday,D,1683305963,30,3000,12,rain,30.02,0,0,66,66,55,66,66,66,Moderate,3,2023-05-19T09:00:00-0400,38,10,300,WNW,,8,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 10:00:00 AM,Friday,D,1683305963,30,3000,9,rain,30.02,0,0,59,69,54,69,69,69,Moderate,4,2023-05-19T10:00:00-0400,38,10,284,WNW,,8,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 11:00:00 AM,Friday,D,1683305963,30,3000,7,rain,30.01,0,0,55,71,54,71,71,71,High,6,2023-05-19T11:00:00-0400,37,10,263,W,,8,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 12:00:00 PM,Friday,D,1683305963,30,3000,6,rain,30,0,0,52,73,54,73,73,73,Very High,8,2023-05-19T12:00:00-0400,38,10,253,WSW,,9,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 1:00:00 PM,Friday,D,1683305963,30,3000,7,rain,29.99,0,0,49,74,54,74,74,74,Very High,8,2023-05-19T13:00:00-0400,39,10,242,WSW,,9,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 2:00:00 PM,Friday,D,1683305963,30,3000,14,rain,29.99,0,0,49,75,54,75,75,75,Very High,8,2023-05-19T14:00:00-0400,41,10,235,SW,,9,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 3:00:00 PM,Friday,D,1683305963,30,3000,15,rain,29.98,0,0,49,75,55,75,75,75,High,6,2023-05-19T15:00:00-0400,47,10,228,SW,,9,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 4:00:00 PM,Friday,D,1683305963,30,3000,16,rain,29.98,0,0,49,75,55,75,75,75,Moderate,4,2023-05-19T16:00:00-0400,55,10,220,SW,,9,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 5:00:00 PM,Friday,D,1683305963,28,2800,18,rain,29.98,0,0,50,75,55,75,75,75,Low,2,2023-05-19T17:00:00-0400,60,10,225,SW,,9,Mostly Cloudy,M Cloudy,1
Friday May 19 2023 at 6:00:00 PM,Friday,D,1683305963,30,3000,20,rain,29.98,0,0,52,73,55,73,73,73,Low,1,2023-05-19T18:00:00-0400,58,10,214,SSW,,9,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 7:00:00 PM,Friday,D,1683305963,30,3000,21,rain,29.98,0,0,55,72,55,72,72,72,Low,0,2023-05-19T19:00:00-0400,51,10,213,SSW,,8,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 8:00:00 PM,Friday,D,1683305963,30,3000,19,rain,29.98,0,0,60,69,55,69,69,69,Low,0,2023-05-19T20:00:00-0400,47,10,207,SSW,,7,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 9:00:00 PM,Friday,N,1683305963,29,2900,20,rain,29.99,0,0,63,68,55,68,68,68,Low,0,2023-05-19T21:00:00-0400,49,10,187,S,,6,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 10:00:00 PM,Friday,N,1683305963,29,2900,21,rain,30,0,0,66,66,55,66,66,66,Low,0,2023-05-19T22:00:00-0400,52,10,195,SSW,,7,Partly Cloudy,P Cloudy,1
Friday May 19 2023 at 11:00:00 PM,Friday,N,1683305963,29,2900,22,rain,30,0,0,69,65,54,65,65,65,Low,0,2023-05-19T23:00:00-0400,52,10,247,WSW,,7,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 12:00:00 AM,Saturday,N,1683305963,29,2900,22,rain,30.01,0,0,73,63,54,63,63,63,Low,0,2023-05-20T00:00:00-0400,50,10,270,W,,6,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 1:00:00 AM,Saturday,N,1683305963,29,2900,23,rain,30.02,0,0,74,62,54,62,62,62,Low,0,2023-05-20T01:00:00-0400,47,10,296,WNW,,6,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 2:00:00 AM,Saturday,N,1683305963,29,2900,24,rain,30.03,0,0,76,62,54,62,62,62,Low,0,2023-05-20T02:00:00-0400,44,10,314,NW,,5,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 3:00:00 AM,Saturday,N,1683305963,29,2900,24,rain,30.03,0,0,77,61,53,61,61,61,Low,0,2023-05-20T03:00:00-0400,42,10,297,WNW,,6,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 4:00:00 AM,Saturday,N,1683305963,29,2900,24,rain,30.03,0,0,79,60,54,60,60,60,Low,0,2023-05-20T04:00:00-0400,42,10,332,NNW,,6,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 5:00:00 AM,Saturday,N,1683305963,29,2900,24,rain,30.04,0,0,79,60,53,60,60,60,Low,0,2023-05-20T05:00:00-0400,42,10,323,NW,,6,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 6:00:00 AM,Saturday,D,1683305963,30,3000,24,rain,30.05,0,0,77,61,54,61,61,61,Low,0,2023-05-20T06:00:00-0400,47,10,338,NNW,,6,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 7:00:00 AM,Saturday,D,1683305963,30,3000,24,rain,30.05,0,0,76,61,54,61,61,61,Low,0,2023-05-20T07:00:00-0400,57,10,333,NNW,,6,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 8:00:00 AM,Saturday,D,1683305963,28,2800,24,rain,30.06,0,0,73,64,55,64,64,64,Low,1,2023-05-20T08:00:00-0400,62,10,333,NNW,,7,Mostly Cloudy,M Cloudy,1
Saturday May 20 2023 at 9:00:00 AM,Saturday,D,1683305963,30,3000,24,rain,30.06,0,0,66,66,55,66,66,66,Low,2,2023-05-20T09:00:00-0400,57,10,309,NW,,8,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 10:00:00 AM,Saturday,D,1683305963,30,3000,24,rain,30.06,0,0,60,69,54,69,69,69,Moderate,4,2023-05-20T10:00:00-0400,48,10,297,WNW,,8,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 11:00:00 AM,Saturday,D,1683305963,30,3000,23,rain,30.05,0,0,55,71,54,71,71,71,High,6,2023-05-20T11:00:00-0400,42,10,261,W,,8,Partly Cloudy,P Cloudy,1
Saturday May 20 2023 at 12:00:00 PM,Saturday,D,1683305963,30,3000,21,rain,30.05,0,0,53,73,55,73,73,73,Very High,8,2023-05-20T12:00:00-0400,41,10,254,WSW,,9,Partly Cloudy,P Cloudy,1
